y:Bottomhole Pressure,flow,u:Valve
0.1203,1.8386,0.2325
0.1186,1.8354,0.2325
0.1170,1.8330,0.2325
0.1154,1.8314,0.2325
0.1139,1.8305,0.2325
0.1125,1.8303,0.2325
0.1113,1.8309,0.2325
0.1102,1.8322,0.2325
0.1092,1.8340,0.2325
0.1084,1.8364,0.2325
0.1078,1.8393,0.2325
0.1073,1.8426,0.2325
0.1070,1.8463,0.2325
0.1069,1.8503,0.2325
0.1069,1.8545,0.2325
0.1070,1.8588,0.2325
0.1073,1.8632,0.2325
0.1078,1.8677,0.2175
0.1022,1.8758,0.2175
0.1032,1.8830,0.2175
0.1043,1.8899,0.2175
0.1053,1.8963,0.2175
0.1063,1.9023,0.2175
0.1072,1.9078,0.2175
0.1081,1.9130,0.2175
0.1090,1.9177,0.2175
0.1097,1.9220,0.2175
0.1105,1.9260,0.2175
0.1111,1.9296,0.2175
0.1117,1.9329,0.2175
0.1123,1.9359,0.2175
0.1132,1.9390,0.2175
0.1145,1.9426,0.2175
0.1160,1.9457,0.2175
0.1174,1.9482,0.2175
0.1188,1.9502,0.2175
0.1202,1.9516,0.2175
0.1215,1.9524,0.2175
0.1227,1.9527,0.2175
0.1239,1.9523,0.2175
0.1250,1.9514,0.2325
0.1350,1.9470,0.2325
0.1362,1.9418,0.2325
0.1370,1.9357,0.2325
0.1376,1.9288,0.2325
0.1378,1.9212,0.2325
0.1377,1.9131,0.2325
0.1373,1.9045,0.2325
0.1365,1.8957,0.2325
0.1354,1.8868,0.2325
0.1341,1.8779,0.2325
0.1325,1.8692,0.2325
0.1307,1.8609,0.2325
0.1287,1.8531,0.2325
0.1266,1.8460,0.2325
0.1244,1.8396,0.2325
0.1222,1.8341,0.2325
0.1200,1.8295,0.2325
0.1179,1.8260,0.2325
0.1158,1.8234,0.2325
0.1138,1.8218,0.2325
0.1120,1.8212,0.2325
0.1104,1.8215,0.2325
0.1089,1.8227,0.2325
0.1076,1.8247,0.2325
0.1066,1.8275,0.2325
0.1057,1.8309,0.2325
0.1050,1.8348,0.2325
0.1045,1.8392,0.2325
0.1043,1.8440,0.2325
0.1042,1.8491,0.2325
0.1044,1.8546,0.2325
0.1049,1.8602,0.2325
0.1055,1.8658,0.2325
0.1063,1.8713,0.2325
0.1071,1.8765,0.2325
0.1079,1.8814,0.2325
0.1086,1.8861,0.2325
0.1094,1.8904,0.2325
0.1106,1.8948,0.2325
0.1119,1.8990,0.2325
0.1133,1.9027,0.2325
0.1147,1.9059,0.2325
0.1161,1.9087,0.2325
0.1175,1.9109,0.2325
0.1189,1.9126,0.2325
0.1203,1.9137,0.2325
0.1216,1.9142,0.2325
0.1229,1.9141,0.2175
0.1156,1.9160,0.2175
0.1163,1.9177,0.2175
0.1169,1.9190,0.2175
0.1176,1.9202,0.2175
0.1182,1.9210,0.2175
0.1189,1.9216,0.2175
0.1194,1.9219,0.2175
0.1200,1.9219,0.2175
0.1205,1.9216,0.2175
0.1210,1.9211,0.2175
0.1214,1.9203,0.2175
0.1217,1.9193,0.2175
0.1220,1.9181,0.2175
0.1222,1.9166,0.2175
0.1224,1.9150,0.2175
0.1225,1.9132,0.2175
0.1225,1.9113,0.2175
0.1225,1.9092,0.2175
0.1224,1.9071,0.2175
0.1222,1.9050,0.2175
0.1220,1.9028,0.2175
0.1217,1.9007,0.2175
0.1214,1.8986,0.2175
0.1210,1.8965,0.2175
0.1206,1.8946,0.2175
0.1202,1.8928,0.2175
0.1197,1.8911,0.2175
0.1192,1.8896,0.2175
0.1187,1.8882,0.2175
0.1183,1.8871,0.2175
0.1178,1.8861,0.2175
0.1173,1.8853,0.2175
0.1169,1.8848,0.2325
0.1248,1.8817,0.2325
0.1246,1.8785,0.2325
0.1242,1.8754,0.2325
0.1238,1.8722,0.2325
0.1233,1.8690,0.2325
0.1227,1.8660,0.2325
0.1220,1.8632,0.2325
0.1213,1.8605,0.2325
0.1205,1.8581,0.2325
0.1197,1.8560,0.2325
0.1189,1.8542,0.2325
0.1181,1.8527,0.2325
0.1173,1.8515,0.2325
